"filename", "language", "CSS", "JSON with Comments", "JSON", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"j:\razer-shop-page\.prettier.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 1, 22
"j:\razer-shop-page\Constants\Const.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 8, 98
"j:\razer-shop-page\Context\CartProvider.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 13, 112
"j:\razer-shop-page\Context\GlobalProvider.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 3, 8
"j:\razer-shop-page\Hooks\useCarts.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 12, 66
"j:\razer-shop-page\Hooks\useRequest.js", "JavaScript", 0, 0, 0, 35, 0, 0, 1, 4, 40
"j:\razer-shop-page\Hooks\useWindowsSize.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 4, 20
"j:\razer-shop-page\README.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 16, 41
"j:\razer-shop-page\components\Module\Cards\Cards.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 7, 72
"j:\razer-shop-page\components\Module\Cards\CardsStyle.module.css", "CSS", 128, 0, 0, 0, 0, 0, 0, 20, 148
"j:\razer-shop-page\components\Module\Categorys\Categorys.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 5, 31
"j:\razer-shop-page\components\Module\Categorys\categoryStyle.module.css", "CSS", 39, 0, 0, 0, 0, 0, 0, 7, 46
"j:\razer-shop-page\components\Module\Login\Login.js", "JavaScript", 0, 0, 0, 31, 0, 0, 6, 5, 42
"j:\razer-shop-page\components\Module\Login\login.module.css", "CSS", 107, 0, 0, 0, 0, 0, 0, 13, 120
"j:\razer-shop-page\components\Module\MultiPanel\MultiPanel.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 3, 63
"j:\razer-shop-page\components\Module\MultiPanel\multiPanelStyle.module.css", "CSS", 34, 0, 0, 0, 0, 0, 0, 5, 39
"j:\razer-shop-page\components\Module\Slider\Slider.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 5, 55
"j:\razer-shop-page\components\Module\Slider\sliderStyle.module.css", "CSS", 53, 0, 0, 0, 0, 0, 0, 13, 66
"j:\razer-shop-page\components\Module\Store\Store.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 3, 19
"j:\razer-shop-page\components\Module\Store\storeStyle.module.css", "CSS", 20, 0, 0, 0, 0, 0, 0, 5, 25
"j:\razer-shop-page\components\Module\TileSlider\TileSlider.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 6, 70
"j:\razer-shop-page\components\Module\TileSlider\TileSliderStyle.module.css", "CSS", 92, 0, 0, 0, 0, 0, 0, 16, 108
"j:\razer-shop-page\components\Module\Wrapper\Wrapper.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 9, 83
"j:\razer-shop-page\components\Module\Wrapper\wrapperStyle.module.css", "CSS", 57, 0, 0, 0, 0, 0, 0, 9, 66
"j:\razer-shop-page\components\Template\Dashboard.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"j:\razer-shop-page\components\Template\Shop.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 7, 69
"j:\razer-shop-page\components\layout\CartDisplay.js", "JavaScript", 0, 0, 0, 207, 0, 0, 0, 4, 211
"j:\razer-shop-page\components\layout\Footer.js", "JavaScript", 0, 0, 0, 276, 0, 0, 5, 6, 287
"j:\razer-shop-page\components\layout\Header.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 4, 59
"j:\razer-shop-page\components\layout\Layout.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"j:\razer-shop-page\components\layout\cartDisplay.module.css", "CSS", 92, 0, 0, 0, 0, 0, 0, 17, 109
"j:\razer-shop-page\components\layout\footerMobileStyle.module.css", "CSS", 130, 0, 0, 0, 0, 0, 0, 26, 156
"j:\razer-shop-page\components\layout\footerStyle.module.css", "CSS", 187, 0, 0, 0, 0, 0, 0, 48, 235
"j:\razer-shop-page\components\layout\headerStyle.module.css", "CSS", 113, 0, 0, 0, 0, 0, 1, 21, 135
"j:\razer-shop-page\components\loginLayout\Footer.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 3, 8
