"filename", "language", "JavaScript", "CSS", "JSON", "XML", "Markdown", "CSV", "comment", "blank", "total"
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\details.md", "Markdown", 0, 0, 0, 0, 91, 0, 0, 6, 97
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 6, 15
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.csv", "CSV", 0, 0, 0, 0, 0, 2, 0, 0, 2
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 7, 19
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.csv", "CSV", 0, 0, 0, 0, 0, 84, 0, 0, 84
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.md", "Markdown", 0, 0, 0, 0, 52, 0, 0, 7, 59
"j:\razer-shop-page\Constants\Const.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"j:\razer-shop-page\Context\CartProvider.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1, -2
"j:\razer-shop-page\Hooks\useCarts.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1, -2
"j:\razer-shop-page\components\Module\Cards\Cards.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"j:\razer-shop-page\components\Module\Cards\CardsStyle.module.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"j:\razer-shop-page\components\Module\Login\Login.js", "JavaScript", -31, 0, 0, 0, 0, 0, -6, -5, -42
"j:\razer-shop-page\components\Module\Login\Logingin.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 8, 150
"j:\razer-shop-page\components\Module\Login\login.module.css", "CSS", 0, -2, 0, 0, 0, 0, 0, 4, 2
"j:\razer-shop-page\components\Module\Signin\Signin.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 5, 99
"j:\razer-shop-page\components\Module\Signin\signin.module.css", "CSS", 0, 50, 0, 0, 0, 0, 0, 10, 60
"j:\razer-shop-page\components\Module\Store\Store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"j:\razer-shop-page\components\Module\Store\storeStyle.module.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"j:\razer-shop-page\components\Module\Wrapper\wrapperStyle.module.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -1, -2
"j:\razer-shop-page\components\Template\Login.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"j:\razer-shop-page\components\Template\Shop.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -1
"j:\razer-shop-page\components\Template\login.module.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 2, 11
"j:\razer-shop-page\components\layout\CartDisplay.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 17
"j:\razer-shop-page\components\layout\Header.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, 0, -5
"j:\razer-shop-page\components\layout\cartDisplay.module.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"j:\razer-shop-page\components\loginLayout\Footer.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 100
"j:\razer-shop-page\components\loginLayout\FooterStyle.module.css", "CSS", 0, 58, 0, 0, 0, 0, 0, 11, 69
"j:\razer-shop-page\components\loginLayout\Header.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 8
"j:\razer-shop-page\components\loginLayout\HeaderStyle.module.css", "CSS", 0, 25, 0, 0, 0, 0, 0, 4, 29
"j:\razer-shop-page\helper\helper.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"j:\razer-shop-page\next.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 10
"j:\razer-shop-page\package-lock.json", "JSON", 0, 0, 781, 0, 0, 0, 0, 0, 781
"j:\razer-shop-page\package.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"j:\razer-shop-page\pages\_document.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"j:\razer-shop-page\pages\api\auth.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 5, 41
"j:\razer-shop-page\pages\api\logout.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"j:\razer-shop-page\pages\api\products.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, -4, -9
"j:\razer-shop-page\pages\login\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"j:\razer-shop-page\pages\shop\index.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, -1, -3
"j:\razer-shop-page\pages\signin\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"j:\razer-shop-page\public\Icons\Globe_icon.svg", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 8
"j:\razer-shop-page\public\Icons\insider.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"j:\razer-shop-page\public\logos\apple.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"j:\razer-shop-page\public\logos\facebook.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 1, 12
"j:\razer-shop-page\public\logos\google.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"j:\razer-shop-page\public\logos\twitch.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"j:\razer-shop-page\public\logos\wechat.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"j:\razer-shop-page\services\api.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, 0, -1
"j:\razer-shop-page\styles\globals.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 1, 3
"j:\razer-shop-page\utils\fetchApi.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, -1, -3
"Total", "-", 408, 149, 786, 42, 164, 86, -6, 88, 1717
