"filename", "language", "JavaScript", "CSS", "JSON", "JSON with Comments", "XML", "Markdown", "CSV", "comment", "blank", "total"
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\details.md", "Markdown", 0, 0, 0, 0, 0, 91, 0, 0, 6, 97
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 84, 0, 0, 84
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.md", "Markdown", 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"j:\razer-shop-page\.prettier.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"j:\razer-shop-page\Constants\Const.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 10, 100
"j:\razer-shop-page\Context\CartProvider.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"j:\razer-shop-page\Context\GlobalProvider.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"j:\razer-shop-page\Hooks\useCarts.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 11, 64
"j:\razer-shop-page\Hooks\useRequest.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 1, 4, 40
"j:\razer-shop-page\Hooks\useWindowsSize.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"j:\razer-shop-page\README.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 16, 41
"j:\razer-shop-page\components\Module\Cards\Cards.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 7, 73
"j:\razer-shop-page\components\Module\Cards\CardsStyle.module.css", "CSS", 0, 132, 0, 0, 0, 0, 0, 0, 21, 153
"j:\razer-shop-page\components\Module\Categorys\Categorys.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"j:\razer-shop-page\components\Module\Categorys\categoryStyle.module.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"j:\razer-shop-page\components\Module\Login\Logingin.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 8, 150
"j:\razer-shop-page\components\Module\Login\login.module.css", "CSS", 0, 105, 0, 0, 0, 0, 0, 0, 17, 122
"j:\razer-shop-page\components\Module\MultiPanel\MultiPanel.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 3, 63
"j:\razer-shop-page\components\Module\MultiPanel\multiPanelStyle.module.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"j:\razer-shop-page\components\Module\Signin\Signin.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 5, 99
"j:\razer-shop-page\components\Module\Signin\signin.module.css", "CSS", 0, 50, 0, 0, 0, 0, 0, 0, 10, 60
"j:\razer-shop-page\components\Module\Slider\Slider.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"j:\razer-shop-page\components\Module\Slider\sliderStyle.module.css", "CSS", 0, 53, 0, 0, 0, 0, 0, 0, 13, 66
"j:\razer-shop-page\components\Module\Store\Store.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"j:\razer-shop-page\components\Module\Store\storeStyle.module.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"j:\razer-shop-page\components\Module\TileSlider\TileSlider.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
